MGI:MGI:1341721	Kcnh1
MGI:MGI:95775	Gnao1
MGI:MGI:1344408	Pebp1
MGI:MGI:1344404	Nek4
MGI:MGI:2671003	Hus1b
MGI:MGI:107622	Usp39
MGI:MGI:98791	Top2b
MGI:MGI:98790	Top2a
MGI:MGI:1339708	Neurod1
MGI:MGI:1918580	Rcbtb1
MGI:MGI:2183752	Tubgcp3
MGI:MGI:98753	Timp2
MGI:MGI:892014	Sfrp1
MGI:MGI:98730	Tgm1
MGI:MGI:98726	Tgfb2
MGI:MGI:98725	Tgfb1
MGI:MGI:98724	Tgfa
MGI:MGI:1924165	Mnd1
MGI:MGI:99698	Clock
MGI:MGI:1929183	Tsc1
MGI:MGI:99660	Pola1
MGI:MGI:1335098	Lig4
MGI:MGI:1924104	Gper1
MGI:MGI:1924100	Ago4
MGI:MGI:1335087	Fem1b
MGI:MGI:1919439	Bag6
MGI:MGI:99604	Fgf8
MGI:MGI:1202879	Tcf7l2
MGI:MGI:5434199	Gm20843
MGI:MGI:2677454	Cetn4
MGI:MGI:107252	Nsun2
MGI:MGI:1929699	Arl3
MGI:MGI:3590652	Txlng
MGI:MGI:98737	Thbs1
MGI:MGI:2385231	Rad9b
MGI:MGI:107202	Atm
MGI:MGI:1922936	Nudt16
MGI:MGI:1919357	Dscc1
MGI:MGI:2385213	Pdik1l
MGI:MGI:1922901	Psmg2
MGI:MGI:1333889	Bub1b
MGI:MGI:1333883	Lats1
MGI:MGI:1333875	Babam2
MGI:MGI:1860512	Prpf40a
MGI:MGI:1929608	Aatf
MGI:MGI:1333850	Mbd4
MGI:MGI:103249	Calm3
MGI:MGI:1924093	Dtl
MGI:MGI:1333816	Mrpl41
MGI:MGI:1333807	Rad17
MGI:MGI:1352454	Nr4a1
MGI:MGI:2145154	Pelo
MGI:MGI:2176207	H1foo
MGI:MGI:1924066	Sdccag8
MGI:MGI:1919399	Strada
MGI:MGI:1313302	Cenpf
MGI:MGI:1924039	Mzt1
MGI:MGI:1919374	Seh1l
MGI:MGI:1919367	Naa50
MGI:MGI:105931	Sycp1
MGI:MGI:105917	Fer
MGI:MGI:1919296	Urgcp
MGI:MGI:1919291	Alkbh4
MGI:MGI:99480	Cebpa
MGI:MGI:3047103	Xlr3c
MGI:MGI:1919288	Klhl21
MGI:MGI:1919282	Pdxp
MGI:MGI:1919258	Zfyve19
MGI:MGI:99439	Btc
MGI:MGI:99435	Arf6
MGI:MGI:99431	Arf1
MGI:MGI:99430	Hira
MGI:MGI:1919238	Esco2
MGI:MGI:1919231	Tdrd12
MGI:MGI:99421	Nfe2l1
MGI:MGI:1915315	Rhno1
MGI:MGI:1919228	Ppp2r2a
MGI:MGI:1202881	Cuzd1
MGI:MGI:99414	Id4
MGI:MGI:3052506	Fbxl7
MGI:MGI:1202878	Meig1
MGI:MGI:1355324	Grb14
MGI:MGI:1355321	Chek2
MGI:MGI:2385095	Lzts2
MGI:MGI:1919205	Ist1
MGI:MGI:1355311	Stag3
MGI:MGI:2143886	Dot1l
MGI:MGI:894297	Clta
MGI:MGI:894282	Sstr5
MGI:MGI:1922764	1700013H16Rik
MGI:MGI:1860374	Mad2l1
MGI:MGI:1344410	Ubd
MGI:MGI:1889208	Cks1b
MGI:MGI:1920018	Topbp1
MGI:MGI:2137495	Myocd
MGI:MGI:1919193	Tom1l1
MGI:MGI:1355297	Pim3
MGI:MGI:1932915	Ndel1
MGI:MGI:87986	Akt1
MGI:MGI:1919174	Tube1
MGI:MGI:1919170	Epgn
MGI:MGI:87977	Ak1
MGI:MGI:1355272	Csnk1d
MGI:MGI:2679003	Dcun1d3
MGI:MGI:1919889	Eme2
MGI:MGI:1919884	Tdrkh
MGI:MGI:1889348	Zfp318
MGI:MGI:1917777	Stambp
MGI:MGI:1919834	Cul4b
MGI:MGI:107689	Kif3a
MGI:MGI:107688	Kif3b
MGI:MGI:1919818	Lin9
MGI:MGI:107656	Ifng
MGI:MGI:2140050	Ints3
MGI:MGI:107634	Larp7
MGI:MGI:1934765	Gpnmb
MGI:MGI:1914278	2610002M06Rik
MGI:MGI:107605	Npat
MGI:MGI:2385621	Nup153
MGI:MGI:98353	Son
MGI:MGI:1914260	Rbm7
MGI:MGI:2155808	Pkhd1
MGI:MGI:1914251	Rrp8
MGI:MGI:1914243	Smarcd3
MGI:MGI:1914233	Zfp830
MGI:MGI:5434022	Gm21858
MGI:MGI:1914227	Nuf2
MGI:MGI:1914221	Cdk5rap1
MGI:MGI:1858896	Spast
MGI:MGI:88177	Bmp2
MGI:MGI:1889294	Rbm38
MGI:MGI:1919799	Reep4
MGI:MGI:2145534	Ccno
MGI:MGI:1919787	Cdca2
MGI:MGI:1919784	Rcc2
MGI:MGI:1924434	Pimreg
MGI:MGI:5578808	Gm28102
MGI:MGI:1340062	Sgk1
MGI:MGI:1340045	Zfp207
MGI:MGI:1917895	Oip5
MGI:MGI:99925	Mybl1
MGI:MGI:102551	Ccnf
MGI:MGI:109281	Pkp4
MGI:MGI:1100526	Nr2e1
MGI:MGI:1100512	Mre11a
MGI:MGI:1100510	Bub1
MGI:MGI:2442925	Atad5
MGI:MGI:102520	Phb2
MGI:MGI:1924994	Bora
MGI:MGI:1330300	Dyrk3
MGI:MGI:109249	Adamts1
MGI:MGI:109247	Ddit3
MGI:MGI:109242	Spin1
MGI:MGI:1337026	Sdcbp
MGI:MGI:109233	Kif22
MGI:MGI:1924968	Slf2
MGI:MGI:96086	Hhex
MGI:MGI:96739	Stmn1
MGI:MGI:1917349	Smc4
MGI:MGI:2138453	Mael
MGI:MGI:1917353	Znhit1
MGI:MGI:96055	Ptpn6
MGI:MGI:97168	Msx1
MGI:MGI:97169	Msx2
MGI:MGI:96770	Lef1
MGI:MGI:1261910	Pibf1
MGI:MGI:1926082	Cacul1
MGI:MGI:1914694	Ilkap
MGI:MGI:1100499	Vps4b
MGI:MGI:1330290	Ovol1
MGI:MGI:1330281	Cd2ap
MGI:MGI:1196293	Tubgcp4
MGI:MGI:104871	Ppp1cb
MGI:MGI:1920923	Rec114
MGI:MGI:1927664	Sirt2
MGI:MGI:2442836	Brip1
MGI:MGI:1194921	Ttk
MGI:MGI:1920988	Haus7
MGI:MGI:1328368	Cdk9
MGI:MGI:1328366	Smarcb1
